index,an_base,nm_programa,nm_producao,nm_subtipo_producao,ds_abstract,nm_discente,nm_area_conhecimento,nm_area_avaliacao,nm_orientador
20070,2012,HISTORIA,O BARÃO DE COTEGIPE E A CRISE DO IMPÉRIO,Mestrado,"O objetivo desse trabalho é analisar a atuação de João Maurício Wanderley, o barão de Cotegipe, à frente da crise que pôs fim ao regime imperial no Brasil..Perseguindo o porquê de o Império não ter oferecido resistência ao golpe de 15 de novembro de 1889 e aos avanços republicanos, que vinham se configurando pelo menos desde 1870, parte-se do princípio de que durante a crise da monarquia teria se desenvolvido uma desafeição ao regime por parte de seus dirigentes. Dessa forma, busca-se analisar a percepção que os estadistas – dirigentes – foram capazes de desenvolver acerca da conjuntura que viviam, e até que ponto suas ações foram orientadas por essa percepção. Especificamente, busca-se examinar a tentativa do barão de Cotegipe, enquanto presidente do Conselho de Ministros (1885-1888), de dirigir a crise do Império. Partindo do princípio de que a crise do regime foi uma crise da hegemonia escravista consolidada à época da Conciliação, a análise da atuação de Cotegipe torna-se especialmente rica. Chefe conservador, alinhado à parcela da Bacia do Paraíba fortemente atrelada aos interesses escravistas, Cotegipe assumiu o poder com a clara missão de frear os avanços abolicionistas, que vinham crescendo desde o final da década de 1870. Fruto de uma época, ele viu o dissenso em torno da reforma da escravidão invadir as fileiras conservadoras, e tentou, até o último momento, encaminhar seu partido unido, acreditando ser esse o único caminho para a salvação do regime.",CARLA SILVA DO NASCIMENTO,HISTÓRIA,HISTÓRIA,RICARDO HENRIQUE SALLES
20071,2012,HISTORIA,"COMBATENDO RATOS, MOSQUITOS E PESSOAS: OSWALDO CRUZ E A SAÚDE PÚBLICA NA REFORMA DA CAPITAL DO BRASIL (1902 – 1904)",Mestrado,"Este trabalho pretende analisar o envolvimento de questões relativas à saúde pública no processo de reformulação urbana da cidade do Rio de Janeiro (1902-1904) comandada pelo prefeito Pereira Passos, nomeado pelo então Presidente Rodrigues Alves. Considera-se que este caso específico contribui para elucidar algumas questões a respeito da relação do Estado brasileiro com a sociedade no princípio do século XX, pois a atuação de um órgão público que direcionava suas ações às questões sanitárias provocou polêmicas e enfrentamentos no seio da sociedade. A instituição em questão é a Diretoria Geral de Saúde Pública (DGSP) no período em que esteve sob a liderança de Oswaldo Cruz. Para tal, considero importante mapear atores-chave neste processo – a saúde pública brasileira, o paradigma pasteuriano e o médico sanitarista Oswaldo Gonçalves Cruz – para então ter elementos para cruzar com fontes a respeito de dados das ações da DGSP no período em recorte e o contexto histórico pelo qual o Brasil e a ciência brasileira passavam. A partir do histórico do desenvolvimento da saúde pública e a reação popular a medidas arbitrárias, quero com este trabalho contribuir na reflexão acerca da atuação de Oswaldo Cruz na saúde pública e o impacto gerado na sociedade pelas ações da DGSP em meio a.transformações motivadas por aspirações de uma elite econômica.",BRUNO DA SILVA MUSSA CURY,HISTÓRIA,HISTÓRIA,ICLEIA THIESEN
20072,2012,HISTORIA,"HERÓI LIBERAL DA TRIBUNA OU MESTRE DA RETÓRICA? JOSÉ BONIFÁCIO, O MOÇO: PENSAMENTO POLÍTICO E DEBATE PARLAMENTAR NA DÉCADA DE 1860",Mestrado,"As transformações políticas ocorridas no Segundo Reinado, na década de 1860, são especialmente refletidas na experiência do movimento político denominado Liga Progressista, que revelou novas articulações eleitorais que impactaram as organizações partidárias tradicionais. Em um contexto de reformas eleitorais e de novas demandas ocorreram significativas mudanças no sistema parlamentar e representativo do Brasil Império. Associando a trajetória do parlamentar, professor de direito e poeta, José Bonifácio de Andrada e Silva - neto homônimo do patriarca da Independência -, com o pensamento político brasileiro na segunda metade do século XIX, notamos um processo de transformação no funcionamento das principais instituições e centros de poder. Bonifácio, em sua retórica, expressou temas e novas perspectivas sobre a organização do Estado, principalmente aquelas defendidas pelo movimento progressista. Analisando a eloquente retórica e influência do personagem, enquanto parlamentar e ministro, e comparando as fontes compostas por discursos e obras de outros intelectuais, encontramos significativas mudanças no repertório político entre anos de 1860 e 1868. Muitos autores apontam esse período como um momento importante para compreender o processo de desarticulação do regime monárquico, sobretudo, em decorrência das crises econômicas e políticas, da Guerra do Paraguai e com a ascensão do movimento pela emancipação dos escravos. Poucos, no entanto, se aprofundaram acerca da contribuição da Liga Progressista na ocorrência dessas transformações.",DANIEL KLIMROTH SOARES,HISTÓRIA,HISTÓRIA,CLAUDIA REGINA ANDRADE DOS SANTOS
26327,2012,HISTORIA,Rupturas e permanências históricas da assistência à saúde ao louco em Montes Claros/MG,Mestrado,"Esta dissertação teve como objetivo analisar as rupturas e as permanências históricas da assistência à saúde ao louco em Montes Claros/MG. Trata-se de um estudo histórico que seguiu pressupostos teórico-metodológicos qualitativos, que se orientou a partir de contribuições de Michel Foucault. Montes Claros foi o cenário de pesquisa por apresentar características em sua rede de assistência à saúde mental que nos permite pensar a respeito do “lugar” destinado ao louco com a presença de um hospital psiquiátrico e do serviço substitutivo, o Centro de Atenção Psicossocial (CAPS). O corpus documental para o desenvolvimento desta pesquisa se constituiu de fontes impressas e fontes orais. As fontes impressas foram documentos oficiais, livros e crônicas sobre o cenário de pesquisa e um caderno de atas de um dos sujeitos de pesquisa, cujo conteúdo se refere às reuniões de idealização e implementação do CAPS, tais como às reuniões da equipe do serviço substitutivo já em funcionamento. As fontes orais se constituíram de um conjunto de cinco entrevistas semi-estruturadas realizadas com os profissionais que trabalham no CAPS e/ou que participaram da idealização e implementação deste serviço em Montes Claros, quais sejam: três psicólogas, uma assistente social, um técnico de enfermagem. A análise dos dados foi realizada por meio da técnica da análise do discurso. Os resultados revelaram que a instituição do CAPS, apesar de considerado, pelos sujeitos de pesquisa, um marco de ruptura, não garantiu a superação do hospital psiquiátrico e de algumas de suas condutas. O que foi percebido com a investigação é que o hospital psiquiátrico continuou a integrar a rede de atenção à saúde mental, mesmo com a atuação do serviço substitutivo. Desse modo, ambos prestavam assistência resultando numa percepção de “velhos” hábitos e “novas” práticas no contexto da saúde mental na cidade. A análise das fontes demonstrou, ainda, o tênue limite que se estabeleceu entre a prática manicomial e a da atenção psicossocial, que realmente, possuem discursos distintos, mas que quando implementados podem ser percebidas algumas semelhanças, como a evidente tentativa de controle do louco",Cynara Rodrigues Soares Silva,HISTÓRIA,HISTÓRIA,Regina Célia Lima Caleiro
26328,2012,HISTORIA,"CHRISTUS VINCIT, CHRISTUS REGNAT, CHRISTUS IMPERAT: REPRESENTAÇÕES DE IGREJA E IMPÉRIO, LEGITIMAÇÃO EM UM SÓ DEUS (SÉCULOS XI E XII)",Mestrado,"Nosso trabalho busca analisar as representações da Igreja e do Império a partir das relações entre os poderes secular e espiritual, nos séculos XI e XII, considerando o processo reformista e a Controvérsia das Investiduras entre o Papa Gregório VII e o Rei Henrique IV. Com o aporte metodológico das representações e da Análise de discurso, extraímos dessa relação de poderes, que abarca nosso objeto de estudo, o seguinte problema: qual o significado da Controvérsia das Investiduras para o processo de construção e consolidação das representações da Igreja e do Império nos séculos XI e início do XII? Com o objetivo de compreender o processo de construção das representações anterior ao período reformista, buscamos traçá-lo a partir da elaboração das imagens da Igreja e do Império até aquela época. Depois, analisando os documentos originados no conflito entre o Rei e o Papa, relacionamos o processo reformista e a Controvérsia àquelas construções. A análise colocou-nos diante de um quadro de imagens que nos possibilitou um resultado para o nosso questionamento inicial: a Controvérsia das Investiduras significou mais que um conflito pelas nomeações episcopais dentro do processo de reforma eclesiástica. O conflito correspondeu a uma grande batalha de representações de mundo.",Magda Rita Ribeiro de Almeida Duarte,HISTÓRIA,HISTÓRIA,Franscino Oliveira Silva
64906,1987,HISTORIA,A EXTINCAO DO ARCO IRISI A AGRO INDUSTRIA E O ECO HISTORICO,Mestrado,AO ESTUDAR HISTORIA E ECOLOGIA DES COBRE SE QUE ESTA ULTIMA POSSUE UMARACIONALIDADE DIFERENTE: NOS FAZ DESCOBRIR OS LIMITES DA EFICIENCIA DAATIVIDADE ECONOMIA E AS CONDICOES EXTRA ECONOMICAS DESTA ESTA RACIONALIDADE ECOLOGICA PODE  TRAZER CONTRIBUICOES A PROBLEMAS ATUAIS QUE POSSAM ADVIR DA FORMA ORGANIZADA PARA PRODUZIR               A SOCIEDADE PRODUZ PARA SOBREVIVER E RESPONDER AS SUAS NECESSIDADES SO CIAIS  TAIS NECESSIDADES SAO CRIADAS E DIFERENCIADAS CULTURALMENTE DEPENDENDO DE CADA FORMACAO SOCIAL ESTE TRABALHO OBJETIVA REALIZAR UM ESTUDO TEMATICO DAS RELACOES DA HISTORIA COM A ECOLOGIA  PROCURANDO VINCU CAS MARCANTES DE UM PROCESSO INDUSTRIAL QUE SE ESTABELECE NA NATUREZA OU SEJA  A AGROINDUSTRIA           A UNIDADE DE PRODUCAO ESCOLHIDA CO MO PONTO DE REFERENCIA ESTA LOCALIZADA NO VALE DO PARANAPANEMA SP E D ENOMINA SE USINA NOVA AMERICA  O CULTIVO DE CANA PARA PRODUCAO DE ACUCAR VEM SENDO AI PRATICADO DESDE 1944  AO DAR ENFANSE A PRODUCAO DO ALCOOL INTENSIFICOU E MODERNIZOU A SUAPRODUCAO TORNANDO SE A 1  EMPRESA E M VOLUME DE PRODUCAO DO GENERO NA SUA REGIAO ADMINISTRATIVA E TAMBEM ADE MAIOR PODER POLUIDOR ENTRE TIPOSDIFERENTES DE PRODUCAO REGIONAL,ALMEIDA JOZIMAR PAES DE,HISTÓRIA,HISTÓRIA,
64911,1987,HISTORIA,O PLANO DE METAS DO GOVERNO KUBITSCHEK E SUA REPERCUSSAO POLITICA,Mestrado,A ANALISE DESENVOLVIDA NESSA TEM POR OBJETIVO EXPLICAR O COMPROMETIMENTO DE KUBITSCHEK COM O TEMA DO DESEOLVIMENTO CONSUBSTANCIADO NO PLANO DE METAS DO GOVERNO                TRACADO UM PAINEL QUE ESCLARECA A R LACAO EXISTENTE ENTRE O PROCESSO DEAMPLIACAO DA PARTICIPACAO POLITICA E A ACELERACAO DA INDUSTRIALIZACAO INVESTIGAMOS DE QUE FORMA AMBOS CONTRIBUEM PARA UM MAIOR ENVOLVIMENTO DO ESTADO NO TERRENO ECONOMICO E PA A UM AUMENTO DAS TENSOES POLITICAS ADECADA DE 50                      ATRAVES DOS DADOS DO PERIODO ESCLARECEMOS AS RAZOES QUE CONDUZIRAM O GVERNO A PROPOR E EXECUTAR O PLANO DMETAS E A FORMA PELA QUAL ESTE CONT,CARDOSO DORA BEATRIZ SANTOS,HISTÓRIA,HISTÓRIA,
64915,1987,HISTORIA,RAZAO E VONTADE POLITICA O IDORT E A GRANDE INDUSTRIA NOS ANOS 30,Mestrado,A DIFUSAO DO IDEARIO DA RACIONALI  ZACAO DO TRABALHO FEZ DO IDORT INS TITUTO DE ORGANIZACAO RACIONAL DO TRABALHO  O ATUALIZADOR DAS PRATICASPOLITICAS DOS ANOS 30 NO BRASIL CRIADO EM 1931  COMO RESULTADO DE ESTU DOS ELABORADOS POR UMA COMISSAO OR GANIZADA PELA ASSOCIACAO COMERCIAL DE SAO PAULO  DA QUAL FAZIAM PARTE MEDICOS  ENGENHEIROS EDUCADORES E INDUSTRIAIS  ESSE INSTITUTO PROCUROUDESDE LOGO  ARTICULAR SE COM AS DUA S GRANDES FORCAS POLITICAS PAULISTADA EPOCA: O GRUPO DO JORNAL O ESTADO DE SAO PAULO; DE ESTRITAS LIGACO ES COM O PARTIDO DEMOCRATICO E INDUSTRIAIS DA FEDERACAO DAS INDUSTRIASDO ESTADO DE SAO PAULO  FIESP  MAI  ATEMPORAL  FUNDADA  NA VERDADE NOSPRINCIPIOS DA CHAMADA ORGANIZACAO DO TRABALHO O IDORI  ATRAVES DE UMA BEM ARTICULADA ACAO EDUCATIVA DE LARGO ALCANCE  ACABA POR IMPOR A VONTADE DA GRANDE INDUSTRIA NA SOCIEDAD E COMO UM TODO,TENCA ALVARO,HISTÓRIA,HISTÓRIA,
64918,1987,HISTORIA,CAMPOS DA VIOLENCIA: ESTUDO SOBRE ARELACAO SENHOR ESCRAVO NA CAPITANIADO RIO DE JANEIRO  1750 1808,Doutorado,ABORDANDO INICIALMENTE A CONEXAO   ENTRE VIOLENCIA  CONTROLE SOCIAL E REPRODUCAO DA ORDEM ESCRAVISTA  ES TE ESTUDO PRETENDE LOCALIZAR A IM  PORTANCIA DE UM DETERMINADO TIPO DECASTIGO NO CONTROLE DO PLANTEL DE ESCRAVOS NO INTERIOR DAS UNIDADES  PRODUTIVAS  A PARTIR DA ANALISE DE DIVERSAS PONTES DOCUMENTAIS  EM ES PECIAL PROCESSOS CRIMINAIS REFEREN TES AOS CAMPOS DOS GOLTACASES EM   FINS DO SECULO XVIII E INICIO DO XIX  PROCURA SE RECUPERAR MULTIPLASFALAS SOBRE O CASTIGO DOS ESCRAVOS CONTRAPONDO AS AO MODO COMO A BI   BLIOGRAFIA TEM HABITUALMENTE TRATA DO A QUESTAO DA CRUELDADE OU BENE  VOLENCIA DAS RELACOES ENTRE SENHO   SOLIDARIEDADES E TENSOES MULTI   PLAS E DIVERSAS                    AO LONGO DE TRES CAPITULOS SAO EXA MINADOS VARIOS ASPECTOS DO COTIDIA NO CAMPISTA DAS RELACOES ENTRE ES  CRAVOS E SENHORES  BEM COMO DIFEREN TES INSTANCIAS DE CONTROLE SOCIAL  PROPONDO SE UMA REVISAO DE AFIRMA  COES RECORRENTES NA HISTORIOGRAFIA ACERCA DA REIFICACAO DO ESCRAVO  DAESTRUTURA DA SOCIEDADE E DO PROPRIOESTRUTURA DA SOCIEDADE E DO PROPRI COLONIAL,LARA SILVIA HUNOLD,HISTÓRIA,HISTÓRIA,
64919,1987,HISTORIA,OS PARTIDOS POLITICOS EM BAURU  DE 1930 A 1937,Mestrado,ESTUDO DA HISTORIA POLITICO PARTID ARIA EM NIVEL REGIONAL  ANALISE DA ORGANIZACAO E FUNCIONAMENTO DOS PARTIDOS EM NIVEL MUNICIPAL  A PARTIR DE NIFORMACOES COLHIDAS LOCALMENTE QUER ATRAVES DE ARQUIVOS DOS PROPR IOS PARTIDOS  QUER ATRAVES DE NOTICIAS DE JORNAIS LOCAIS E DA CAPITAL COMO POSTURA METODOLOGICA  OBSERVA SE A TENTATIVA DE PERCEPCAO DO LOCAL PELA SUA INSERCAO NO GLOBAL,VICENTE MAXIMILIANO MARTIN,HISTÓRIA,HISTÓRIA,
